Q,A
오늘은 무엇을 할까, 책 읽자!
영화 보러 가고 싶어, 무슨 영화 볼까?
오늘 많이 피곤해, 푹 쉬자!
무엇을 하고 싶어, 그냥 쉬고 싶어요.
주말에 뭐 할까, 영화 보러 가자!
날씨가 덥다, 아이스크림 먹고 싶어요.
내일 계획은 뭐야, 친구랑 만날 거예요.
오늘 기분 어때, 기분 좋아요.
시험 준비 잘 했어, 그럭저럭 해봤어요.
오늘 날씨가 너무 좋다, 나가서 놀자!
내일 뭐 할 거야, 그냥 쉬어요.
기분이 좋아, 나도요!
게임하고 싶어, 온라인 게임 해요.
오늘은 뭐 할 거야, 독서할 거예요.
오늘 시험 본다, 잘 볼 거예요!
오늘은 어떤 일이 있었어, 아무 일 없었어요.
피곤하다, 빨리 자고 싶어요.
저녁은 뭐 먹을까, 치킨 먹자!
날씨가 추워, 따뜻하게 입자.
시험 잘 봤어, 다행이에요!
오늘은 기분이 좋아, 나도 좋아요!
어디 가고 싶어, 서울 가고 싶어요.
오늘 하루 어땠어, 그저 그랬어요.
점심 먹었어, 아직 안 먹었어요.
오늘은 뭘 할까, 쉬어요.
저녁에 뭐 먹을까, 스시 먹자!
운동 끝나고 뭐 할까, 집에 가요.
오늘 피곤하다, 쉬어야겠다.
무엇을 하고 싶어, 여행 가고 싶어요.
오늘은 무슨 날, 평범한 날이에요.
점심은 뭐 먹을까, 짬뽕 어때요?
날씨가 흐려, 그래도 외출하자!
오늘도 열심히 일했어, 수고했어요!
내일 뭐 할까, 친구 만나요.
오늘 너무 더워, 시원한 음료 마셔요.
피곤해, 빨리 자고 싶어요.
주말에는 뭐 할 거야, 쉬어요!
오늘 어떤 일이 있었어, 그냥 평범한 하루였어요.
이번 주말에 뭐 할까, 여행 가요!
책 읽고 싶어, 재미있는 책 뭐 있어요?
시험 준비가 너무 힘들어, 그래도 잘 할 거예요.
친구랑 뭐 할까, 놀러 가자!
오늘 기분 어때, 기분 좋아요!
저녁은 뭐 먹지, 간단한 걸로 먹어요.
내일 시험이야, 잘 준비할 거예요.
오늘 날씨 어때, 좀 흐려요.
점심 먹고 뭐 할까, 산책해요.
오늘 하루 어땠어, 그냥 그랬어요.
오늘은 피곤하다, 푹 쉬어야겠어요.
내일 뭐 할까, 아무 계획이 없어요.
책 읽고 싶어, 어떤 책 추천해줄래요?
오늘 기분 좋아, 좋은 하루에요!
친구랑 뭐 할까, 영화 보고 싶어요.
운동 좀 해야겠다, 운동하러 가자.
오늘 날씨 어때, 흐림과 맑음이 섞였어요.
여행 가고 싶다, 어디가 좋을까요?
오늘 정말 피곤하다, 그래도 잘 해야죠!
점심 먹고 뭐 할까, 쉬어요.
내일 무슨 일이 있어, 잘 준비할 거예요.
오늘 너무 덥다, 시원한 곳에 가요!
오늘은 어떻게 보냈어, 그냥 쉬었어요.
기분이 안 좋아, 잘 될 거예요!
주말에 뭐 할 거야, 집에서 쉴 거예요.
책 읽고 싶다, 재미있는 책 찾아볼까요?
날씨가 너무 좋아, 바깥에 나가자!
내일 뭐 할까, 친구랑 만나자.
오늘은 기분이 좋아, 나도요!
저녁은 뭐 먹을까, 떡볶이 어때요?
시험 준비가 힘들어, 그래도 할 수 있어요.
오늘 날씨 좋다, 산책 가자!
오늘은 피곤하다, 내일 쉬자.
게임 하고 싶어, 어떤 게임 좋아해요?
영화 뭐 볼까, 로맨스 영화 좋아해요.
오늘 하루 어땠어, 그저 그런 하루였어요.
내일 뭐 할까, 아무 일도 안 할 거예요.
오늘은 기분이 좋아, 정말 좋아요!
시험 보러 가야 해, 화이팅!
오늘 날씨 어때, 살짝 흐려요.
친구 만나고 싶어, 언제 만날까요?
피곤하다, 잘 자고 싶어요.
오늘 저녁은 뭐 먹을까, 스테이크 먹어요.
운동 끝나고 뭐 할까, 집에 가요.
오늘은 시험이 끝났어, 이제 푹 쉬어요.
오늘 날씨 어때, 맑고 따뜻해요.
내일 날씨는 어때, 비 올 확률이 있어요.
기분 좋다, 나도요!
오늘은 피곤해, 그래도 힘낼 거예요.
시험 준비 잘했어, 아직 조금 부족해요.
오늘 점심은 뭐 먹을까, 김밥 먹어요.
저녁은 뭐 먹을까, 떡볶이 어때요?
오늘 저녁 뭐 먹었어, 라면 먹었어요.
내일 뭐 할 거야, 친구 만나기로 했어요.
주말에 뭐 할 거야, 쇼핑할 거예요.
요즘 뭐 보고 있어, 영화 보고 있어요.
오늘은 좀 피곤하다, 그래도 괜찮아요.
오늘 뭐 먹었어, 비빔밥 먹었어요.
내일은 뭘 할까, 카페 가고 싶어요.
영화 뭐 볼까, 액션 영화 보고 싶어요.
오늘 기분 어때, 기분 좋아요.
날씨가 너무 더워, 시원한 음료 마셔요.
운동 좋아해, 요가가 좋아요.
오늘은 시험이야, 화이팅!
오늘은 기분이 좋아, 나도요!
무엇을 하고 싶어, 그냥 쉬고 싶어요.
내일 뭐 할까, 아무것도 안 할 거예요.
시험 결과가 궁금해, 잘 본 것 같아요.
오늘 하루 어땠어, 평범한 하루였어요.
저녁은 뭐 먹을까, 치킨 먹을래요.
시험 준비 잘 돼가, 거의 다 했어요.
운동은 언제 할 거야, 내일 아침에 할 거예요.
친구 만나서 뭐 할 거야, 카페 가자.
오늘의 기분은 어때, 괜찮아요.
시험 준비하고 있어, 열심히 하고 있어요.
오늘은 날씨가 맑아, 좋은 하루 되세요.
저녁은 뭐 먹을까, 피자 먹고 싶어요.
책 읽고 싶어, 재미있는 책 추천해 주세요.
내일은 뭐 할까, 그냥 쉬고 싶어요.
오늘은 특별한 일이 없어, 그저 그런 하루였어요.
저녁 뭐 먹을까, 국물 요리 어때요?
오늘 피곤하다, 내일은 좀 더 일찍 자야겠어요.
어떤 게임 좋아해, RPG 게임 좋아해요.
내일 뭐 입을까, 편안한 옷 입을 거예요.
오늘은 공부 잘 했어, 다 끝났어요.
시험 결과 어떨까, 걱정돼요.
오늘 피곤해, 푹 쉬고 싶어요.
운동은 자주 해, 일주일에 세 번 정도 해요.
오늘 뭘 했어, 그냥 쉬었어요.
저녁에 뭐 할 거야, 영화 보러 갈 거예요.
친구랑 뭐 할까, 카페에서 이야기해요.
오늘은 공부하느라 바빠, 그래도 쉬고 싶어요.
내일 무슨 일을 할까, 책 읽을 거예요.
오늘 기분 좋다, 나도 기분 좋아요.
날씨가 좋아, 오늘 산책 가자!
주말에 뭐 할 거야, 친구들 만나기로 했어요.
오늘도 기분 좋다, 좋아요!
오늘 뭐 먹을까, 떡볶이 먹자!
영화 보고 싶어, 어떤 영화 볼까?
오늘 하루는 어땠어, 그냥 평범한 하루였어요.
책을 읽고 싶어, 추천할 만한 책 있나요?
내일은 뭐 할까, 그냥 집에서 쉴 거예요.
오늘 날씨가 좋아, 나가서 산책하고 싶어요.
오늘은 기분이 좋아, 정말 좋은 하루예요.
어떤 음식을 좋아해, 한식 좋아해요.
오늘은 시험이 있어, 잘 볼 수 있을지 모르겠어요.
지금 뭐 하고 있어, 그냥 쉬고 있어요.
주말에 뭐 할까, 운동하러 갈 거예요.
친구랑 무엇을 할까, 영화 보러 가자!
내일은 시험이야, 준비는 다 했어요.
오늘은 기분이 안 좋아, 그래도 괜찮아요.
오늘 저녁은 뭐 먹을까, 간단하게 먹을래요.
이제 끝낼까, 아직 좀 더 할 거예요.
점심 뭐 먹을까, 김치찌개 먹을까요?
오늘도 바쁘다, 그래도 힘내야지!
친구랑 뭐 할까, 카페 가자.
시험 준비 어때, 열심히 하고 있어요.
오늘 기분 어때, 기분이 조금 좋아요.
오늘 점심은 뭐 먹을까, 라면 먹을래요.
오늘 밤 뭐 할까, 집에서 쉬자!
오늘 날씨가 흐리다, 그래도 괜찮아요.
오늘 운동할 거야, 운동 끝내고 쉬어요.
내일은 뭐 할까, 아무 일도 안 할 거예요.
기분 좋아, 나도 좋아요!
영화 보고 싶다, 어떤 영화가 좋아요?
오늘은 뭐 했어, 공부했어요.
내일 뭐 할까, 친구 만나기로 했어요.
오늘 기분 어때, 조금 피곤해요.
오늘도 운동할 거야, 일찍 일어나서 운동할 거예요.
주말에 뭐 할까, 여행가고 싶어요.
오늘 하루 어땠어, 별일 없었어요.
오늘 시험 봤어, 잘 봤으면 좋겠어요.
오늘 하루는 어땠어, 괜찮았어요.
오늘 밤 뭐 할 거야, 영화를 볼 거예요.
내일은 시험이에요, 화이팅!
오늘은 조금 지쳤어, 그래도 괜찮아요.
오늘은 공부 중이야, 아직 다 안 끝났어요.
오늘 날씨가 조금 더워, 에어컨 켜야겠어요.
저녁 먹었어, 아직 먹지 않았어요.
오늘은 좀 피곤해, 그래도 잘 할 거예요.
지금 뭐 하고 있어, 책 읽고 있어요.
오늘 하루는 어땠어, 그냥 쉬었어요.
오늘은 날씨가 맑아, 나가서 산책하자!
오늘은 좀 피곤한데, 그래도 괜찮아요.
오늘 시험 봤어, 잘 본 것 같아요.
내일 시험이 있어, 준비 끝냈어요.
내일 계획은 뭐야, 운동할 거예요.
오늘은 뭐 할까, 친구 만나기로 했어요.
오늘 기분 좋아, 좋은 하루 되세요.
오늘은 피곤해, 그래도 할 일은 해야죠.
오늘 점심은 뭐 먹을까, 김치찌개 어때요?
오늘은 영화 보고 싶어요, 추천해 주세요.
오늘은 날씨가 좋아, 나가서 산책하자!
점심 뭐 먹을까, 떡볶이 먹자!
오늘 날씨는 어떠냐, 맑고 시원해요.
오늘 저녁은 뭐 먹을까, 피자 먹어요.
시험 준비 잘 하고 있어, 조금 더 힘낼 거예요.
오늘은 기분 좋다, 나도요!
오늘은 시험이야, 잘 준비했어요.
오늘 날씨 어때, 맑고 따뜻해요.
오늘 점심은 뭐 먹을까, 라면 먹어요.
오늘은 기분이 좋다, 나도 좋아요!
오늘은 시험이야, 화이팅!
오늘은 공부 중이야, 거의 끝났어요.
오늘 날씨 어때, 맑고 기온도 좋아요.
내일은 뭐 할 계획이야, 아마 운동할 거예요.
오늘 뭐 먹을 거야, 한식 먹고 싶어요.
이번 주말에 뭐 할 거야, 친구랑 쇼핑 갈 거예요.
어떤 게임 좋아해, 액션 게임 좋아해요.
요즘 뭐 해, 책 읽고 있어요.
오늘 하루 어땠어, 그냥 평범한 하루였어요.
영화 추천해줘, 로맨틱 코미디 추천해요.
운동 언제 할 거야, 저녁에 할 거예요.
기분 어때, 기분 좋고 행복해요.
주말에 뭐 할 거야, 집에서 쉴 거예요.
오늘은 공부 안 할 거야, 그냥 쉴 거예요.
내일은 뭘 할 거야, 친구 만나러 갈 거예요.
오늘 점심 뭐 먹었어, 김치찌개 먹었어요.
오늘 기분 어때, 조금 피곤해요.
저녁 뭐 먹을 거야, 치킨 먹을래요.
오늘 시험 어땠어, 어려웠어요.
오늘 뭐 할 거야, 그냥 쉬고 있을 거예요.
책 읽고 싶어, 어떤 책 읽을까?
오늘 밤 뭐 할 거야, 영화 볼 거예요.
어떤 음악 좋아해, 클래식 음악 좋아해요.
점심 뭐 먹을까, 떡볶이 어때요?
오늘은 기분 좋아, 나도 기분 좋아요.
오늘은 무엇을 했어, 공부하고 쉬었어요.
저녁 뭐 먹을까, 피자 먹고 싶어요.
오늘 기분 어때, 좋아요.
운동은 언제 할 거야, 내일 아침에 할 거예요.
시험 준비 잘 돼, 거의 끝났어요.
오늘은 날씨가 어때, 조금 덥지만 괜찮아요.
오늘은 기분이 좋아, 날씨가 맑아서 좋아요.
오늘 피곤하다, 푹 쉬어야겠다.
운동 자주 해, 일주일에 세 번 정도 해요.
오늘 점심은 뭐 먹었어, 비빔밥 먹었어요.
오늘 하루 어땠어, 그냥 그런 하루였어요.
내일 시험 있어, 긴장돼요.
기분은 어때, 괜찮아요.
오늘은 공부 중이야, 조금 피곤하지만 열심히 하고 있어요.
영화 보고 싶어, 액션 영화 볼 거예요.
오늘은 좀 피곤한데, 그래도 열심히 해요.
저녁은 뭐 먹을까, 국물 요리 먹고 싶어요.
오늘은 좀 피곤해, 그래도 괜찮아요.
운동 좋아해, 요가가 좋아요.
오늘 기분 좋아, 좋은 하루 되세요.
오늘은 좀 힘들어, 그래도 열심히 할 거예요.
내일은 무엇을 할 거야, 그냥 집에서 쉴 거예요.
오늘 밤 뭐 할 거야, 게임할 거예요.
시험 준비 어때, 다 했어요.
오늘 기분 어때, 오늘도 잘 지내요.
오늘 날씨 어때, 맑고 따뜻해요.
영화 추천해줘, 공포 영화 어때요?
오늘은 뭐 먹을 거야, 라면 먹을래요.
오늘은 시험이야, 잘 볼 수 있으면 좋겠어요.
내일 계획은 뭐야, 친구랑 놀 거예요.
오늘 밤은 뭐 할 거야, 간단하게 책 읽을 거예요.
오늘은 날씨가 좋아, 나가서 산책할까?
오늘 피곤해, 쉬고 싶어요.
시험 결과 어떨까, 기대돼요.
오늘 점심 뭐 먹을까, 김밥 먹을래요.
저녁 뭐 먹을 거야, 피자 어때요?
오늘 운동했어, 조금 피곤해요.
오늘은 공부 안 할 거야, 휴식시간이에요.
시험 준비는 어떻게 돼가, 아직 덜 했어요.
오늘은 날씨가 흐려요, 그래도 괜찮아요.
오늘 하루 어땠어, 좋은 하루였어요.
오늘은 좀 피곤해, 내일은 좀 더 잘 할 거예요.
영화 볼까, 뭐 볼지 정하지 못했어요.
오늘 점심 뭐 먹었어, 덮밥 먹었어요.
오늘 기분 어때, 기분이 좋아요.
오늘 날씨가 어때, 덥고 흐려요.
운동 언제 할 거야, 내일 아침에 할 거예요.
친구랑 뭐 할 거야, 카페에서 이야기할 거예요.
오늘은 피곤해, 그래도 화이팅!
오늘 저녁은 뭐 먹을까, 떡볶이 어때요?
시험 준비 잘 돼가, 조금만 더 해야겠어요.
오늘은 날씨가 덥다, 시원한 음료수 마셔야겠어요.
내일 뭐 할까, 친구랑 만날 거예요.
오늘 기분 어때, 기분이 조금 안 좋아요.
오늘은 좀 피곤하다, 그래도 할 일은 해야죠.
오늘 시험 봤어, 잘 본 것 같아요.
오늘 밤 뭐 할 거야, 게임할 거예요.
오늘 운동 안 했어, 내일 할 거예요.
오늘은 시험이 있어, 잘 준비했어요.
점심 뭐 먹을까, 비빔밥 어때요?
영화 보고 싶어, 뭐 볼까?
오늘 하루 어땠어, 그냥 평범한 하루였어요.
오늘은 피곤해, 내일은 좀 더 할 수 있어요.
오늘은 기분이 좋아, 좋은 하루 되세요.
오늘 저녁은 뭐 먹을 거야, 국밥 어때요?
오늘은 좀 힘들어, 그래도 최선을 다할 거예요.
오늘은 날씨가 좋아, 나가서 산책하고 싶어요.
오늘 시험 잘 봤어, 그럼 이제 좀 쉬자.
오늘 기분 어때, 잘 지내요.
내일은 뭐 할 거야, 아무것도 안 할 거예요.
오늘 점심은 뭐 먹었어, 라면 먹었어요.
오늘 밤 뭐 할 거야, 영화 볼 거예요.
오늘은 시험 준비 중, 힘내요!
오늘 기분 어때, 괜찮아요.
오늘 운동했어, 조금 피곤해요.
오늘은 날씨가 흐려, 그래도 괜찮아요.
오늘은 공부 중이에요, 잘 하고 있어요.
오늘은 좀 피곤하다, 그래도 힘내자.
내일 시험이 있어, 잘 준비했어요.
오늘 저녁 뭐 먹을까, 치킨 먹을 거예요.
오늘은 날씨가 흐리다, 그래도 괜찮아요.
시험 준비 어때, 조금 더 힘낼 거예요.
오늘 기분 어때, 괜찮아요.
오늘은 공부하고 있어, 끝낼 때까지 할 거예요.
오늘은 날씨가 좋아, 나가서 산책하자!
오늘은 기분이 좋아, 좋은 하루 되세요.
오늘 밤 뭐 할 거야, 친구랑 이야기할 거예요.
시험 잘 볼 수 있을까, 걱정되지만 잘 할 거예요.
오늘 날씨 어때,맑고 기온도 좋아요
오늘 뭐 먹을까,떡볶이 먹을래요
오늘은 어떤 기분이야,기분 좋아요
운동은 언제 할 거야,내일 아침에 할 거예요
영화 추천해줘,로맨틱 코미디 추천해요
주말에 뭐 할 거야,집에서 쉴 거예요
오늘 공부는 어땠어,조금 힘들어요
어떤 음악 좋아해,클래식 음악 좋아해요
어떤 게임 좋아해,액션 게임 좋아해요
